route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6612,1,14521628,2 Macdonald/To Burrard Station,,0,2137302,301882,0,1
6612,1,14521629,2 Macdonald/To Burrard Station,,0,2137304,301882,0,1
6612,1,14521630,2 Macdonald/To Burrard Station,,0,2137310,301882,0,1
6612,1,14521631,2 Macdonald/To Burrard Station,,0,2137307,301882,0,1
6612,1,14521632,2 Macdonald/To Burrard Station,,0,2137302,301882,0,1
6612,1,14521633,2 Macdonald/To Burrard Station,,0,2137300,301882,0,1
6612,1,14521634,2 Macdonald/To Burrard Station,,0,2137304,301882,0,1
6612,1,14521635,2 Macdonald/To Burrard Station,,0,2137312,301882,0,1
6612,1,14521636,2 Macdonald/To Burrard Station,,0,2137306,301882,0,1
6612,1,14521637,2 Macdonald/To Burrard Station,,0,2137310,301882,0,1
6612,1,14521638,2 Macdonald/To Burrard Station,,0,2137311,301882,0,1
6612,1,14521639,2 Macdonald/To Burrard Station,,0,2137309,301882,0,1
6612,1,14521640,2 Macdonald/To Burrard Station,,0,2137307,301882,0,1
6612,1,14521641,2 Macdonald/To Burrard Station,,0,2137300,301883,0,1
6612,1,14521642,2 Macdonald/To Burrard Station,,0,2137302,301882,0,1
6612,1,14521643,2 Macdonald/To Burrard Station,,0,2137312,301883,0,1
6612,1,14521644,2 Macdonald/To Burrard Station,,0,2137304,301882,0,1
6612,1,14521645,2 Macdonald/To Burrard Station,,0,2137310,301883,0,1
6612,1,14521646,2 Macdonald/To Burrard Station,,0,2137306,301882,0,1
6612,1,14521647,2 Macdonald/To Burrard Station,,0,2137309,301883,0,1
6612,1,14521648,2 Macdonald/To Burrard Station,,0,2137311,301882,0,1
6612,1,14521649,2 Macdonald/To Burrard Station,,0,2137300,301883,0,1
6612,1,14521650,2 Macdonald/To Burrard Station,,0,2137307,301882,0,1
6612,1,14521651,2 Macdonald/To Burrard Station,,0,2137304,301883,0,1
6612,1,14521652,2 Macdonald/To Burrard Station,,0,2137302,301882,0,1
6612,1,14521653,2 Macdonald/To Burrard Station,,0,2137306,301883,0,1
6612,1,14521654,2 Macdonald/To Burrard Station,,0,2137310,301882,0,1
6612,1,14521655,2 Macdonald/To Burrard Station,,0,2137300,301883,0,1
6612,1,14521656,2 Macdonald/To Burrard Station,,0,2137309,301882,0,1
6612,1,14521657,2 Macdonald/To Burrard Station,,0,2137304,301883,0,1
6612,1,14521658,2 Macdonald/To Burrard Station,,0,2137307,301882,0,1
6612,1,14521659,2 Macdonald/To Burrard Station,,0,2137306,301883,0,1
6612,1,14521660,2 Macdonald/To Burrard Station,,0,2137302,301882,0,1
6612,1,14521661,2 Macdonald/To Burrard Station,,0,2137300,301883,0,1
6612,1,14521662,2 Macdonald/To Burrard Station,,0,2137310,301882,0,1
6612,1,14521663,2 Macdonald/To Burrard Station,,0,2137304,301883,0,1
6612,1,14521664,2 Macdonald/To Burrard Station,,0,2137309,301882,0,1
6612,1,14521665,2 Macdonald/To Burrard Station,,0,2137306,301883,0,1
6612,1,14521666,2 Macdonald/To Burrard Station,,0,2137307,301882,0,1
6612,1,14521667,2 Macdonald/To Burrard Station,,0,2137300,301883,0,1
6612,1,14521668,2 Macdonald/To Burrard Station,,0,2137302,301882,0,1
6612,1,14521669,2 Macdonald/To Burrard Station,,0,2137304,301883,0,1
6612,1,14521670,2 Macdonald/To Burrard Station,,0,2137310,301882,0,1
6612,1,14521671,2 Macdonald/To Burrard Station,,0,2137306,301883,0,1
6612,1,14521672,2 Macdonald/To Burrard Station,,0,2137309,301882,0,1
6612,1,14521673,2 Macdonald/To Burrard Station,,0,2137300,301883,0,1
6612,1,14521674,2 Macdonald/To Burrard Station,,0,2137307,301882,0,1
6612,1,14521675,2 Macdonald/To Burrard Station,,0,2137304,301883,0,1
6612,1,14521676,2 Macdonald/To Burrard Station,,0,2137303,301882,0,1
6612,1,14521677,2 Macdonald/To Burrard Station,,0,2137306,301883,0,1
6612,1,14521678,2 Macdonald/To Burrard Station,,0,2137302,301882,0,1
6612,1,14521679,2 Macdonald/To Burrard Station,,0,2137310,301882,0,1
6612,1,14521680,2 Macdonald/To Burrard Station,,0,2137300,301883,0,1
6612,1,14521681,2 Macdonald/To Burrard Station,,0,2137308,301882,0,1
6612,1,14521682,2 Macdonald/To Burrard Station,,0,2143031,301882,0,1
6612,1,14521683,2 Macdonald/To Burrard Station,,0,2137304,301883,0,1
6612,1,14521684,2 Macdonald/To Burrard Station,,0,2137307,301882,0,1
6612,1,14521685,2 Macdonald/To Burrard Station,,0,2137306,301883,0,1
6612,1,14521686,2 Macdonald/To Burrard Station,,0,2137301,301882,0,1
6612,1,14521687,2 Macdonald/To Burrard Station,,0,2137310,301883,0,1
6612,1,14521688,2 Macdonald/To Burrard Station,,0,2137303,301882,0,1
6612,1,14521689,2 Macdonald/To Burrard Station,,0,2137308,301883,0,1
6612,1,14521690,2 Macdonald/To Burrard Station,,0,2137309,301883,0,1
6612,1,14521691,2 Macdonald/To Burrard Station,,0,2137300,301882,0,1
6612,1,14521692,2 Macdonald/To Burrard Station,,0,2137307,301883,0,1
6612,1,14521693,2 Macdonald/To Burrard Station,,0,2143031,301882,0,1
6612,1,14521694,2 Macdonald/To Burrard Station,,0,2137301,301883,0,1
6612,1,14521695,2 Macdonald/To Burrard Station,,0,2137304,301882,0,1
6612,1,14521696,2 Macdonald/To Burrard Station,,0,2137306,301882,0,1
6612,1,14521697,2 Macdonald/To Burrard Station,,0,2137302,301883,0,1
6612,1,14521698,2 Macdonald/To Burrard Station,,0,2137310,301882,0,1
6612,1,14521699,2 Macdonald/To Burrard Station,,0,2137300,301883,0,1
6612,1,14521700,2 Macdonald/To Burrard Station,,0,2143031,301883,0,1
6612,1,14521701,2 Macdonald/To Burrard Station,,0,2137309,301882,0,1
6612,1,14521702,2 Macdonald/To Burrard Station,,0,2137304,301883,0,1
6612,1,14521703,2 Macdonald/To Burrard Station,,0,2137307,301882,0,1
6612,1,14521704,2 Macdonald/To Burrard Station,,0,2137306,301883,0,1
6612,1,14521705,2 Macdonald/To Burrard Station,,0,2137301,301882,0,1
6612,1,14521706,2 Macdonald/To Burrard Station,,0,2137302,301882,0,1
6612,1,14521707,2 Macdonald/To Burrard Station,,0,2137310,301882,0,1
6612,1,14521708,2 Macdonald/To Burrard Station,,0,2137300,301882,0,1
6612,1,14521709,2 Macdonald/To Burrard Station,,0,2143031,301882,0,1
6612,1,14521710,2 Macdonald/To Burrard Station,,0,2137304,301882,0,1
6612,1,14521711,2 Macdonald/To Burrard Station,,0,2137306,301882,0,1
6612,1,14521712,2 Macdonald/To Burrard Station,,0,2137301,301882,0,1
6612,1,14521713,2 Macdonald/To Burrard Station,,0,2137302,301882,0,1
6612,1,14521714,2 Macdonald/To Burrard Station,,0,2137300,301882,0,1
6612,1,14521715,2 Macdonald/To Burrard Station,,0,2143031,301882,0,1
6612,1,14521716,2 Macdonald/To Burrard Station,,0,2137304,301882,0,1
6612,1,14521717,2 Macdonald/To Burrard Station,,0,2137306,301882,0,1
6612,1,14521718,2 Macdonald/To Burrard Station,,0,2137301,301882,0,1
6612,1,14521719,2 Macdonald/To Burrard Station,,0,2137302,301882,0,1
6612,1,14521720,2 Macdonald/To Burrard Station,,0,2143031,301882,0,1
6612,1,14521721,2 Macdonald/To Burrard Station,,0,2137304,301882,0,1
6612,1,14521722,2 Macdonald/To Burrard Station,,0,2137306,301882,0,1
6612,1,14521723,2 Macdonald/To Burrard Station,,0,2137301,301882,0,1
6612,1,14521724,2 Macdonald/To Burrard Station,,0,2137302,301882,0,1
6612,1,14521725,2 Macdonald/To Burrard Station,,0,2143031,301882,0,1
6612,1,14521726,2 Macdonald/To Burrard Station,,0,2137304,301882,0,1
6612,1,14521727,2 Macdonald/To Burrard Station,,0,2137306,301882,0,1
6612,1,14521728,2 Macdonald/To Burrard Station,,0,2137302,301882,0,1
6612,1,14521729,2 Macdonald/To Burrard Station,,0,2137304,301882,0,1
6612,1,14521730,2 Macdonald/To Burrard Station,,0,2137306,301882,0,1
6612,1,14521731,2 Macdonald/To Dunbar Loop,,1,2137302,301884,0,1
6612,1,14521732,2 Macdonald/To Dunbar Loop,,1,2137304,301884,0,1
6612,1,14521733,2 Macdonald/To Dunbar Loop,,1,2137310,301884,0,1
6612,1,14521734,2 Macdonald/To Dunbar Loop,,1,2137307,301884,0,1
6612,1,14521735,2 Macdonald/To Dunbar Loop,,1,2137302,301884,0,1
6612,1,14521736,2 Macdonald/To 16th Avenue,,1,2137300,301885,0,1
6612,1,14521737,2 Macdonald/To Dunbar Loop,,1,2137304,301884,0,1
6612,1,14521738,2 Macdonald/To 16th Avenue,,1,2137312,301885,0,1
6612,1,14521739,2 Macdonald/To Dunbar Loop,,1,2137306,301884,0,1
